"3d_viz_custom_consultants","accounting_custom_consultants","acoustics_custom_consultants","ae_fee_number","ae_sourced_cost_co_number","ae_sourced_number_co_number","arborist_custom_consultants","archeologist_custom_consultants","art_consultant1_custom_consultants","audiovisual_custom_consultants","aviation_custom_consultants","awards_received1_list_text","awards_submissions_list_text","bid_amount_number","bid_cost_number","bid_date_date","bid_estimate_number","builder_custom_consultants","builder_phase_engagement_option_design_phases","building_envelope_custom_consultants","business_management_custom_consultants","certifications_list_text","civil_custom_consultants","client_custom_consultants","cm_custom_consultants","code_consultant1_custom_consultants","companysubscribed_custom_companysubscriber","completion_date__actual__date","completion_date__anticipated__date","completion_date_date","construction_budget_number","construction_cost_at_start_of_construction_number","construction_cost_at_start_of_design_number","construction_cost_number","construction_materials_text","construction_start__actual__date","construction_start__anticipated__date","construction_testing_custom_consultants","consultant_cost_co_number","consultant_number_co_number","contract_award_date_date","cost_estimator3_custom_consultants","cost_number","costpersqft_number","date_of_occupancy_date","delivery_method_text","design_completion_date","design_custom_consultants","design_start_date","door_hardware_custom_consultants","electric_solar_meter__kbtu__list_number","electric_year_ending_date_list_date","electrical_custom_consultants","elevator_consultant_custom_consultants","environmental_custom_consultants","final_construction_cost_number","fire_protection1_custom_consultants","food_service_custom_consultants","geotech_custom_consultants","grade_level_text","graphic_design_custom_consultants","hazmat_custom_consultants","historic_preservation_custom_consultants","image_image","inspections_custom_consultants","interior_design_consultant_custom_consultants","internal_team_list_user","lab_planning_custom_consultants","land_survey_custom_consultants","landscape_custom_consultants","lighting_consultant_custom_consultants","location_geographic_address","location_text","mechanical_custom_consultants","mechanical_system_text","name_text","no__levels_floors_number","no__units_number","occupancy_number","owner_generated_cost_co_number","owner_generated_number_co_number","parking_design_custom_consultants","parking_space_number","permit_review_custom_consultants","phase_text","planning1_custom_consultants","plumbing_custom_consultants","pm_custom_consultants","prime_list_custom_consultants","principal_in_charge_user","program_text","project_description_text","project_id_text","project_images_list_image","project_imgs_files_list_file","project_imgs_names_list_text","project_narrative_text","project_number_number","project_order_number","project_publicity_list_text","project_status_option_project_status","project_survey_list_custom_survey","project_us_state_text","public_relations_custom_consultants","real_estate_custom_consultants","regioncounty_text","roofing_consultant_custom_consultants","scope_of_services_text","site_description_text","site_size_number","size_number","specifications_consultant_custom_consultants","specifications_custom_consultants","sq__ft___addition__number","sq__ft___reno__number","sq__ft__new__number","sq__ft__total_number","start_date_date","structural_custom_consultants","structural_system_text","sustainability_consultant_custom_consultants","sustainability_text","telecommunications_custom_consultants","total_cost_co_number","total_number_co_number","total_project_budget_number","total_project_cost_number","traffic_consultant_custom_consultants","type_list_text","unforeseen_cost_co_number","unforeseen_number_co_number","waterproofing_custom_consultants","Created Date","Modified Date","_id","Slug","Created By","Created By - email"
"","","","","","","","","","","","","","","","","","","","","","LEED Gold – New Construction","","","","","1728659653678x113956400766583870","","","Jan 1, 2020 12:00 am","","","","","","","","","","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96-045 Ala ʻIke, Pearl City, HI 96782","","","Kīpuka Native Hawaiian Center at Puʻuloa
Leeward Community College","","","","","","","","","","","","","","","","","","","","","Design and documentation for interior renovation and expansion of the existing DA Building and an addition of a new Dance Studio and restroom building to better serve the needs of the Hawaiian Studies program. The renovation involved the selective demolition of interior finishes and the construction of new interior partitions, doors, flooring and ceilings. Existing electrical, AC, Plumbing, and Telecom systems were replaced. A portion of the existing DA exterior walls, including doors and windows were removed and replaced to allow for the expansion. The project improved the function and organization of spaces, allowing for larger study areas, additional offices, a lab, a dance studio and restroom.","16120","","","","","","","","","","","","","22529","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491879x824615606524443400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","LEED Gold – New Construction","","","","","1728659653678x113956400766583870","","","Jan 1, 2020 12:00 am","","","","","","","","","","","","","3000000","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","96-045 Ala ʻIke, Pearl City, HI 96782","1730156264638x822999928689301900","","Kīpuka Native Hawaiian Center at Puʻuloa Leeward Community College","","","","","","","","","","","","","","","","","","","","","Design and documentation for interior renovation and expansion of the existing DA Building and an addition of a new Dance Studio and restroom building to better serve the needs of the Hawaiian Studies program. The renovation involved the selective demolition of interior finishes and the construction of new interior partitions, doors, flooring and ceilings. Existing electrical, AC, Plumbing, and Telecom systems were replaced. A portion of the existing DA exterior walls, including doors and windows were removed and replaced to allow for the expansion. The project improved the function and organization of spaces, allowing for larger study areas, additional offices, a lab, a dance studio and restroom.","16120","","","","","","","","","","","","","22529","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491876x251434605763753760","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177833x289623293045877760","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kona Airport","","","","","","","","","","","","","","","","","","","","","","22123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aviation","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384819x536598739647447200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","25000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Salt Lake, O‘ahu, Hawaii","","","Lagoon Drive Station – HART Honolulu Rail Transit Project","","","","","","","","","","","","","","","","Led the architectural design and coordination for the Lagoon Drive Station, part of the HART Honolulu Rail Transit Project. The design included elevated platforms, canopies, and facilities integrated with structural, mechanical, and electrical systems. Worked closely with ARUP to achieve LEED Silver certification, ensuring the station met Honolulu’s sustainability goals. Managed the design-build collaboration with Hawaiian Dredging and FIGG, delivering a community-sensitive, sustainable transit solution through Construction","","","","","","12129","","","","","","","","","","","","","16800","","","","","","","","","","","","","","","","","","Government Facility","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491635x823541416844248700","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177833x507128818110143400","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","Lāhainā, Maui","1730156264638x822999928689301900","","Leilani's On The Beach Restaurant Renovation","","","","","","","","","","","","","","","","3 different levels","","","","","100words
The extensive renovation sought to clean up the layout & open the restaurant to the view. The levels were consolidated to three main elevations – the beach bar, the entry level, and the dining level. The entrance was also extensively reworked, as previous additions had made it cramped and uninviting. 

500-1000words","16124","","","","","","","","","","","","","9647","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569492061x655464349697479400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kā‘anapali, Maui","","","Luana Garden Villas","","72","","","","","","","","","","","","","","72 units. 3 bedrooms/unit.","","","","","100words
Each Garden Villa has three-bedrooms with lush landscaping and large outdoor spaces. The Luana garden units have the largest 3 bedroom floorplan at Honua Kai (excluding the oceanfront 3 bedroom units) with roughly 2,000 sq.ft. of living area, 500-600 sq.ft of covered lanais, and a single car enclosed garage; a huge bonus as parking at Honua Kai is at a premium especially during the busy season.

500-1000words","16129","","","","","","","","","","","20 acres","871200","234972","","","","","","","","","","","","","","","","","","Single Family Residential","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569492061x121717818884649940","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177836x731963403949594100","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1527 Keeaumoku St. Honolulu. HI","","","Makiki Community Center Renovation","","","","","","","","","","","","","","","","","","","","","The project scope involves, design and documentation, including mechanical and electrical systems for new bathrooms on 2nd & 3rd floors; kitchenette on 3rd floor; of the library building at the Makiki District Park located at 1527 Keeaumoku St. The library building is four (3) levels, including a basement, all approximately 16,600 sf.","23120","","","","","","","","","","","","","16600","","","","","","","","","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384968x337936346730288960","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kailua, Oʻahu","","","Maui Brewing Company  |  Kailua Brewery","","","","","","","","","","","","","","","","One level","","","","","100words
The concept behind Maui Brewing Company’s Kailua location celebrates the surrounding local neighborhood, history and context. One mo‘olelo that is central to this location’s design revolves around a boy with a magic stick that attracted throngs of fish from Kawainui’s waters to a secret pool up mauka.

500-1000words","16141","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695365x268423286425312670","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Kukulu Hale Honors Award 2018","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","Jan 1, 2017 12:00 am","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waikīkī, Oʻahu
2320 Kalākaua Avenue, Honolulu, HI 96815","","","Maui Brewing Company Waikīkī Brewery","","","","","","","","","","","","","","","","","","","","","100words
A mixture of the industrial interior blends in with art by local artists and cultural references that tell different stories of the place and the company. The kinetic façade that is the main image of the restaurant, blows and flutters in the wind. It’s geometric and fluid pattern represents the many stories of Māui.

500-1000words
Kama‘āina company, and national small business of the year, Maui Brewing Company has expanded their business to a new flagship restaurant location in Waikīkī. A venture between the founders of Maui Brewing Company, Garrett and Melanie Marrero, and veteran restaurateurs, Chris Thibaut and Bill Terry, the new 20,000 sf landmark establishment is poised on the Kalākaua strip. Located in the former Jimmy Buffet’s Restaurant space on the third floor of the Holiday Inn Waikīkī Beachcomber, the restaurant neighbors International Market Place and is opposite the Royal Hawaiian Shopping Center.

The former Jimmy Buffet’s Restaurant space was faced with many challenges. The Kalākaua entrance was almost nonexistent, little more than a shack and an elevator lobby on a five-story blank wall. There was little character that added to the streetscape of Kalākaua, and because the restaurant was located on the third floor, the business suffered due to the lack of connection to the street. On top of that, the deep restaurant space was cavernous and had little connection with the outdoors. The outdoor seating area that was part of the scope was used mostly as a means of egress for the Magic of Polynesia performance space on the top floor above the restaurant, via a large staircase that bifurcated the dining area

The clients wanted not only a resurfacing of the restaurant, but a complete gutting and expansion of the Kalākaua entrance. The whole interior was reconfigured to meet their programmatic needs; a new kitchen, integrated indoor-outdoor dining, and the largest bar in the state. There was also the desire to tell the brand story, connect with the local culture, and be an ambassador of aloha to visitors and locals alike. The design as a whole tries to combine the industrial craft of brewing, with the local character of being a kama‘āina company. The renovation went after achieving all of this in a building that was forty years old and plagued with inconsistencies and unforeseen conditions.

To create a better connection from Kalākaua up to the restaurant, the three-story face of the entrance was blown out and opened to create an atrium. The Kalākaua urban fabric was pulled into the building, creating an inviting extension of the sidewalk. A new feature staircase was built to connect the ground floor up to the third-floor restaurant. The steel and concrete staircase floats away from the walls and crisscrosses over the atrium space with bridges and catwalks. Along the way up to the top floor, users are encouraged to learn about the brewery process with a two-story graphic mural that follows along the staircase, step by step. The material pallet of the atrium is several types of basalt stone to bring a vernacular character to the design. The cultural design considerations were:

Demi-God Māui & ‘Alae – The texture of the individual tiles, fluttering in the winds, evoke the images of feathers on a bird – which relates to the ‘alae, or Hawaiian mudhen, from which Māui stole the secret to fire. This image of feathers also relates to the ‘ahu‘ula, or feather capes, that the Ali‘i of both Maui and Waikīkī used to wear.
Lē‘ahi – The diamond metallic pattern of the façade also has references to fish scales, which not only relates to the fishing culture of Maui and Waikīkī, but also to the great ‘ulua, Pimoe, that escaped Māui and his brothers whom wound up pulling the Hawaiian Islands up from the ocean floor.
‘Ohe Kāpala – The geometric patterns of the façade also have references to Hawaiian kapa, which relates to the story of Māui slowing down the sun so that his mother’s kapa would dry during the day.
Hōkū – At nighttime, the façade lights up, reflecting not only the light from within it, but also the surrounding lights of Waikīkī. It resembles the night sky reflecting off the rolling ocean as winds blow by. This image references the Manaiakalani constellation, used in Polynesian wayfinding, and named after the magical fishhook of Māui.
Piko – The super graphic that is portrayed through the combination of solid and perforated 
metal tiles, is of a spiraling shape that reaches across the façade. The spiral is a reference to 
the koru, or pīko in Hawaiian, on the back of the turtle found on the Maui Brewing Company 
logo. The koru is a Maori symbol meaning friendships and new beginnings, which was 
appropriate as this is MBC’s first restaurant venture.

Adjacent to the atrium space is a five-story stair tower with a blank wall that faces Kalākaua. The design team took this as an opportunity to create something iconic that added to the Waikīkī streetscape. A 70-foot-tall kinetic façade was designed to wrap around this stair tower and continue across the outdoor dining space on the third level. This created a vertical element that dynamically connected the street level, the façade of the existing building, and the restaurant, all into one compositional design.

Several local artists were brought on board to help tell the story of the brand and create various nods to the local culture. A 65’ long mural behind the bar was created by local artist Margo Ray from the Big Island. The mural is a collage of images of referencing, Maui the place and the demi-god, the craft brewing process, and culture and colors of Hawai‘i. Dividing the bar area from the dining area, and the outdoor dining area from the pool deck, are several rope screens, woven by Hawaiian fiber artist Marques Hanalei Marzan. In the artist’s words, “He drew his inspiration for these works from the chiefly net carriers of Hawai‘i, known as kōkō pu‘upu‘u. Each net had their own unique character much like their owners, and often serviced as visual identifying markings for that chief. These net carriers were used to transport their food and chiefly possessions while travelling. Symbolically, they served as the protectors of the chief’s wellbeing and station. Marzan uses this metaphor to fill the space with an intimate connection to place, while imbuing the same sense of protection on all those who enter the restaurant and are nourished by its offerings. Truly, the people make the chief and the place strong.”

The Maui Brewing Company Restaurant is both a place to come with your family and try the best burger on the island or come with your friends after work and try one of the thirty beers on tap. Opened in early 2017, Maui Brewing Company Waikīkī will go forward to represent the company’s new brand and identity. One that the design team helped communicate was rooted in island culture, was proud to be the only true micro-brewery in the state, and is a place that perpetuates the craft brew lifestyle","15113","","","","","","","","","","","","","12222","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491812x247845807718700900","","admin_user_arch-dash_test",""
"","","","","","","","","","","","IIDA Ho’ohuli Dine Award 2019
AIA Honolulu Award of Merit 2018","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","Feb 4, 2018 12:00 am","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kīhei, Maui
605 Lipoa Pkwy, Kihei, HI 96753","","","Maui Brewing Company | Kīhei Brewery","","","","","","","","","","","","","","","","","","","","","100words
Maui Brewing Company built their Kīhei facility a decade ago and have grown it into the largest brewery facility in the state. When they first built the plant, they had always intended to have a restaurant on site, we were happy to share their brand through this design. The restaurant is in a large warehouse space in the brewery. Here, the concept is about paying respect to the process and craft of brewing, honesty in ingredients, and the rural countryside of Maui.
500-1000words
Kama‘āina company, and national small business of the year 2017, Maui Brewing Company has expanded their business from their flagship restaurant location in Waikīkī to their brewing facility in Kīhei. A venture between the founders of Maui Brewing Company, Garrett and Melanie Marrero, and veteran restaurateurs, Chris Thibaut and Bill Terry, the newly renovated facility and restaurant

Maui Brewing Company built their Kīhei facility a decade ago and have grown it into the largest brewery facility in the state. When they first built the plant, they had always intended to have a restaurant on site, we were happy to share their brand through this design. The restaurant is in a large warehouse space in the brewery. The facility houses eight stainless-steel fermentation tanks, each holding 3,100 gallons of beer, plus two smaller tanks that hold 775 gallons apiece. Just outside the brewhaus, six tanks each hold another 7,750 gallons. The total is a whopping 95,780 gallons of malted deliciousness, which will eventually fill about 1,021,653 twelve-ounce cans. Here, the concept is about paying respect to the process and craft of brewing, honesty in ingredients, and the rural countryside of Maui.

The popular tasting room and brewery have been there for several years, and regulars and the pau hana crowd will be happy to hear that the tasting room remains the same. Behind the long bar hangs whimsical signs for 32 colorfully named beers. Tourists and locals scour the selections, ordering samplers and draughts. There are still board games and a giant Connect Four set, and a covered outdoor lānai to hang out on. In the evenings, beer drinkers listen to live music from local bands and singers like Rowdy Love.

The large dining room is separated from the bar area by a raised barrier with steel and wood angular wooden motifs. The barrier, and the cascade of hanging lights over the bar, follow the profile of Haleakalā and Mauna Kahalawai. The bar and highboy bar tables are smooth and pleasing poured concrete

The two graphic walls that flank either side of the bar are inspired by Maui Brewing Company’s can art. These motifs represent the main ingredients in beer and help tie the story to other Maui Brewing Company locations. This attention to the ingredients relates to the brewery and the farming on Maui. The vertical screen that divides the bar space is a sculptural motif that represents wheat, barely, and kapa beaters in Hawai‘i. The geometric pattern relates to indigenous art, while the subject relates to the ingredients in beer and the agriculture of Maui. The dining room is flanked on two sides with giant keg racks that reach the floor to ceiling. The keg racks bring visitors into the experience of dining in a brewery. Kegs can be rearranged over time and new or old ones can be swapped out.","16110","","","","","","","","","","","","","5713","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491853x243951304415525020","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kapalua, Maui","","","Montage Kapalua Bay Resort Residences","","50","","","","","","","","","","","","","","3-4 bedrooms/unit. 50 units.","","","","","100words
Incorporating Hawai‘i’s heritage and culture into the design, WCIT has created a signature Polynesian longhouse porte-cochere and arrival building as well as roof lines in the property. At arrival you're met with a dramatic, triangular roof meant to resemble a traditional Hawaiian canoe house, floating over a koi pond. Luxurious ocean views, the spacious three and four bedroom residences floor plans have been configured for maximum view potential.
500-1000words","19102","","","","","","","","","","","24 acres","1045440","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869851x612522605589130000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","AIA Award 2019
APA Award 2019","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","777 Ward Avenue
Honolulu, Hi 96816","","","Neal S. Blaisdell Center Masterplan","","","","","","","","","","","","","","","","","","","","","100words
Located in the center of Honolulu and adjacent to the historic Thomas Square Park, Blaisdell Center is situated at an ideal location to attract audiences from both from downtown and Waikīkī.  The City currently owns and operates the 22.4–acre Center. Since its construction in 1964, the site has served as a major gathering place for performances and community events. In recent years, the arena has struggled for bookings due to competition from newer and more accessible facilities. This envisions a vibrant new civic space that is respectful to the past, present, and future.

500-1000words","18120","","","","","","","","","","","23 acres","1001880","","","","","","","","","","","","","","","","","","","Master Plan","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869753x696829196005571200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","AIA Honolulu Award of Merit – Unbuilt 2019
APA Planning Award 2019","","","","","","","","","","","","1732726177830x525558463687483260","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","18000000","","","","","","","","","","","","","","","","","","","","","","","","","","","1730156561453x299346794249964600","","","777 Ward Ave, Honolulu, HI 96814","","","Neal S. Blaisdell Concert Hall Renovation","2","","","","","","","","","","","","","","","","","","","","100 words 
Renovation of existing concert hall that includes improvements to the back of house, stage, laundry area, restrooms, security, power/data upgrades, dressing rooms, renovation and expansion of the lobby including interior finishes/wall treatments, and site improvements and infrastructure upgrades.
500 – 1000 words
Located in the urban heart of O‘ahu, the Neal S. Blaisdell Center is home to Hawai‘i’s premiere arts and cultural venues. Known as a place “where memories are made”, the original complex featured a state-of-the-art arena, concert hall, and exhibition hall constructed in 1964. Five decades later, the Center continues to present local and global acts and welcomes more than 800,000 visitors each year. However, its aging facilities and outdated technology deter from the overall patron experience and underserves the needs of the growing community. With a brand-new performance hall, exhibition hall, sports pavilion, parking structure, “Arts Ensemble” and reconceived public space, redevelopment of Blaisdell Center will not only restore and update the historic existing structures, but also provide new opportunities to showcase Hawai‘i’s arts and culture for the next 50 years.

Today, the two iconic structures of the existing arena and concert hall anchor opposite ends of the site. However, much of the 22-acre campus is dominated by paved zones for parking, loading, and other back-of-house functions. Inspired by the site’s genealogy and local perceptions of space and environment that emphasize a deep connection to the land and a reverence for natural resources, the project proposes an ambitious reconfiguration of the site which both doubles the amount of program area and usable public space through the reappropriation of vehicular hardscape.

The conceptual design consolidates parking and all back-of-house areas into a central service spine running the length of the site and connecting each of the venues. By lifting most of the ground plane over this support space, a new series of lushly vegetated gardens terrace over and conceal the expanded back-of-house. The reimagined public realm is composed of distinctive spaces, each with a unique character and function, that enable community gathering and support a variety of outdoor performance and recreation activities. Subtle elevational changes offer opportunities to celebrate the use of water as it moves through the site, and the design respects its natural flow from mauka to makai (from the mountain to the sea).

With a multitude of venues on site, the project’s greatest architectural challenge was balancing the variety of scales, character, and function of each component. Respecting their architectural heritage, the well-known mid-century Arena and Concert Hall are carefully maintained and upgraded while new structures are situated between them to improve connectivity. Several newly proposed structures are designed to evoke the concepts of erosion, taking on the sculptural quality of being shaped by water and wind. The new Performance Hall and Arts Ensemble broaden and diversify opportunities for rehearsal and entertainment, while a new Exhibition Hall replaces the existing one with a more dynamic building that adds a third more exhibition space and additional conference capacity.

Throughout the design and planning process, a series of collaborative community and stakeholder workshops helped the design team identify three core values that would build on the site’s many-layered history and shape the project: ho‘okahe wai (activate water), ho‘olaule‘a Hawai‘i (celebrate culture), and ho‘opili kānaka (gather community).","21103","","","","","","","","","","Renovation to Concert Hall Interior Back of House Dressing Rooms and Work Areas","","","18528","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157467x185932151870366940","","admin_user_arch-dash_test",""
"","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","PCBC Gold 2018","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","Honolulu, Oʻahu","1730156561454x554511758673992240","","Nobu Honolulu Restaurant & Bar","","","","","","","","","","","","","","","","","","","","","100words
The materials and details were kept in Nobu tradition, the perfect marriage between the modern Japanese aesthetic with local Hawaiian accents. The double height ceilings are defined by undulating light wood slats that guide the guests through the space. The walls are cladded in traditional Japanese ‘shou sugi ban’ or charred wood that hints at the Hawaiian lava fields.

500-1000words","15149","","","","","","","","","","","","","11000","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491851x578779806621645600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","NAIOP Kukulu Hale Award Non-profit and Government Entity 2023
NAIOP Kukulu Hale Award: Green Building Award 2023
AIA Honolulu Mayor’s Choice Award 2021
USGBC Leadership Award: Pacific Region 2021
Affordable Housing Magazine Readers Choice Award Finalist 2021
IIDA Honolulu Chapter Ho'ohuli Awards 2021
GCA Build Hawaii Residential Award of Excellence 2021","","","","","","","","","","LEED Gold 2021","","","","","1728659653678x113956400766583870","","","Jan 1, 2021 12:00 am","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","1730156561453x299346794249964600","","","Kakaʻako, Oʻahu","1730156264638x822999928689301900","","Nohona Hale Apartments Affordable Micro-Housing","16","111","","","","","","","","","","","","","","111 units. 16 stories.","","","","","100words
The Nohona Hale Affordable Rental Micro-Housing project was created in response to HCDA’s request for proposal to develop an affordable low-to moderate-income “micro unit” housing project. Encompassing 111 affordable rental micro-units (approximately 300 square-feet each), Nohona Hale is a 16-story tower set upon a two level podium which houses the lobby, living room, community spaces and management offices. The energy efficient micro-units are marketed to low-income households earning 60% and below of the AMI, and 10% of the project’s units will be set aside to specifically serve families earning 30% AMI or less. 

500-1000words","16123","","","","","","","","","","","","9600","57554","","","","","","","","1730082692719x553220684389339460","","","","","","","","","","High Rise Building (all bldgs over 15 stories)","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491978x404338193488295940","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1730039943225x957840024863402000","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","Makena, Maui","1730156264638x822999928689301900","","Ocean Villas at Maluaka Luxury Townhomes","","6","","","","","","","","","","","","","","","","","","","100words
 Ocean Villas is a luxury residential building located on the shores of West Maui. With open and spacious living spaces that flow harmoniously from one to the next, this makes for a perfect vacation retreat. There is a seamless connection between indoors and out, extending interior living areas to the outdoors, perfect for entertaining with ease. Each residence has a rich, earth-toned palette, deep lanais, large expanses of glass windows and doors and custom designed panels on the exterior.

500-1000words","15142","","","","","","","","","","","2 acres","87120","","","","","","","","","1730082692719x553220684389339460","","","","","","","","","","Residential Condominiums","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491851x654930199130530600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1730155404018x469290367630068800","1732726177830x612284360875264000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1734971967735x416992576580795600","","","1 RITZ CARLTON DRIVE KAPALUA, HAWAII. 96761","1730156561454x554511758673992240","","Onyx PV Equipment Building Project at Ritz Carlton Kapalua","","","","","","","","","","","","","","","","Addition of new storage bldg. for hotel furniture. Construction of new structure & assoc. mechanical and electrical work.","","","","","","21107","","","","","","","","","","","28 acres","1219680","","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Offices , Warehouses","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157528x950887040915391600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4-820 Kūhiō Highway Ste 5 Kapa‘a, HI, 96746","","","Outrigger Kaua‘i Beach Resort Guestroom and Public Area Renovation","","","","","","","","","","","","","","","","","","","","","","23134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689277x787761783592051800","","admin_user_arch-dash_test",""
